Station,Place,Latitude,Longitude
PCR_009,Port-Cros,43.009300,6.421933
PCR_010,Port-Cros,43.008300,6.423267
PCR_011,Port-Cros,43.012080,6.423000
PCR_012,Port-Cros,43.011150,6.422933
PCR_013,Port-Cros,43.010480,6.422534
PCR_014,Port-Cros,43.009450,6.423167
PCR_015,Port-Cros,43.008280,6.423433
PCR_016,Port-Cros,43.006430,6.423033
PCR_017,Port-Cros,43.007480,6.423666
PCR_018,Port-Cros,43.008380,6.424133
PCR_019,Port-Cros,43.009400,6.424583
PCR_020,Port-Cros,43.010450,6.424883
PCR_021,Port-Cros,43.009970,6.423450
PCR_022,Port-Cros,43.008730,6.423733
PCR_023,Port-Cros,43.007470,6.424016
PCR_024,Port-Cros,43.006600,6.422650
PCR_025,Port-Cros,43.012120,6.423967
PCR_026,Port-Cros,43.010850,6.424100
PCR_027,Port-Cros,43.009550,6.423867
PCR_028,Port-Cros,43.008280,6.423767
PCR_029,Port-Cros,43.007080,6.423367
PCR_030,Port-Cros,43.011330,6.423833
PCR_031,Port-Cros,43.010170,6.424000
PCR_032,Port-Cros,43.009000,6.423833
PCR_033,Port-Cros,43.007670,6.423167
PCR_034,Port-Cros,42.996000,6.417666
PCR_035,Port-Cros,42.996170,6.382500
PCR_036,Port-Cros,42.996000,6.380833
PCR_037,Port-Cros,42.995670,6.379333
PCR_038,Port-Cros,42.996000,6.377500
PCR_039,Port-Cros,43.006830,6.422333
PCR_040,Port-Cros,43.006000,6.421667
PCR_041,Port-Cros,43.005500,6.419833
AGD_001,Agde,43.246480,3.459033
AGD_002,Agde,43.246170,3.461333
AGD_003,Agde,43.246420,3.463517
AGD_004,Agde,43.246250,3.466000
AGD_005,Agde,43.246480,3.468117
AGD_006,Agde,43.248030,3.470133
AGD_007,Agde,43.247880,3.477467
AGD_008,Agde,43.248050,3.480333
AGD_009,Agde,43.247830,3.466933
AGD_010,Agde,43.248030,3.470133
PVE_001,Port Vendres,42.523900,3.112983
PVE_002,Port Vendres,42.524520,3.112150
PVE_003,Port Vendres,42.525070,3.111367
PVE_004,Port Vendres,42.519990,3.132767
PVE_005,Port Vendres,42.521000,3.130983
BON_001,Bonifacio,41.363367,9.193383
BON_002,Bonifacio,41.363250,9.195167
BON_003,Bonifacio,41.363150,9.196950
BON_004,Bonifacio,41.362867,9.198733
BON_005,Bonifacio,41.362950,9.200517
FLO_001,Saint Florent,42.713667,9.309167
FLO_002,Saint Florent,42.714500,9.311167
FLO_003,Saint Florent,42.715167,9.312667
FLO_004,Saint Florent,42.716167,9.313500
FLO_005,Saint Florent,42.717500,9.315000
BAS_001,Bastia,42.733333,9.652778
BAS_002,Bastia,42.705556,9.666667
BAS_003,Bastia,42.688889,9.691667
BAS_004,Bastia,42.666667,9.711111
BAS_005,Bastia,42.650000,9.458333
BAS_006,Bastia,42.897222,9.488889
BAS_007,Bastia,42.880556,9.505556
BAS_008,Bastia,42.869444,9.519444
BAS_009,Bastia,42.852778,9.538889
